timestamp,throughput_mbps,channel_occupancy_percent,channel_occupancy_method,latency_ms,jitter_ms,packet_loss_udp_percent,poll_interval_s,tx_retries_per_s,tx_failed_per_s,rssi_dbm,connected_clients,rssi_delta_db,rssi_moving_avg_dbm,scenario,throughput_score,occupancy_score,retry_failed_score,jitter_score,congestion_score,label
2026-08-22 19:35:29,44.64,50.0,instantaneous_fallback,100.75,179.0,,5.0,1545.6,1590.4,-56.0,2,-1.0,-55.1,low_load,0.2976,0.5,0.5018,0.5967,0.4744,1
2026-08-22 19:35:34,50.61,40.0,instantaneous_fallback,107.75,163.0,,5.0,1259.6,1350.8,-54.0,2,2.0,-54.5,low_load,0.3374,0.4,0.4177,0.5433,0.4125,1
2026-08-22 19:35:39,41.56,43.33,instantaneous_fallback,76.0,34.0,,5.0,3113.6,3124.0,-57.0,2,-3.0,-55.2,low_load,0.2771,0.4333,0.998,0.1133,0.467,1
2026-08-22 19:35:45,45.79,51.72,instantaneous_fallback,111.25,225.0,,6.0,1212.33,1241.0,-55.0,2,2.0,-55.4,low_load,0.3053,0.5172,0.3925,0.75,0.4848,1
2026-08-22 19:35:50,40.66,100.0,delta,79.5,107.0,,5.0,1788.0,1865.6,-56.5,2,-1.5,-55.7,low_load,0.2711,1.0,0.5846,0.3567,0.6746,2
2026-08-22 19:35:55,57.01,53.33,instantaneous_fallback,68.5,80.0,,5.0,2639.6,2717.2,-55.0,2,1.5,-55.5,low_load,0.3801,0.5333,0.8571,0.2667,0.5274,2
2026-08-22 19:36:00,55.83,48.28,instantaneous_fallback,111.5,197.0,,5.0,1733.2,1733.2,-56.0,2,-1.0,-55.9,low_load,0.3722,0.4828,0.5546,0.6567,0.5011,2
2026-08-22 19:36:04,43.48,100.0,delta,158.0,349.0,,4.0,2576.5,2624.5,-57.0,2,-1.0,-55.9,low_load,0.2899,1.0,0.8322,1.0,0.8244,3
2026-08-22 19:36:09,46.04,63.33,instantaneous_fallback,51.0,59.0,,5.0,1600.0,1641.6,-55.0,2,2.0,-55.9,low_load,0.3069,0.6333,0.5187,0.1967,0.4796,1
2026-08-22 19:36:13,40.95,43.33,instantaneous_fallback,85.0,139.0,,4.0,2358.5,2450.5,-55.0,2,0.0,-55.6,low_load,0.273,0.4333,0.7694,0.4633,0.473,1
2026-08-22 19:36:18,43.19,60.0,instantaneous_fallback,71.0,65.0,,5.0,1309.2,1332.4,-56.0,2,-1.0,-55.8,low_load,0.2879,0.6,0.4227,0.2167,0.4446,1
2026-08-22 19:36:22,47.84,46.67,instantaneous_fallback,68.25,76.0,,4.0,1734.0,1736.0,-56.5,2,-0.5,-55.9,low_load,0.3189,0.4667,0.5552,0.2533,0.4228,1
2026-08-22 19:36:27,45.99,40.0,instantaneous_fallback,25.5,45.0,,5.0,2206.0,2302.0,-55.0,2,1.5,-55.5,low_load,0.3066,0.4,0.7213,0.15,0.4081,1
2026-08-22 19:36:31,46.7,26.67,instantaneous_fallback,75.5,160.0,,4.0,3037.0,3043.0,-55.5,2,-0.5,-55.6,low_load,0.3113,0.2667,0.9728,0.5333,0.4568,1
2026-08-22 19:36:36,43.78,46.67,instantaneous_fallback,21.75,35.0,,5.0,1134.4,1135.2,-54.0,2,1.5,-55.4,low_load,0.2919,0.4667,0.3631,0.1167,0.3585,1
2026-08-22 19:36:40,41.65,40.0,instantaneous_fallback,23.75,37.0,,4.0,965.5,965.5,-54.5,2,-0.5,-55.1,low_load,0.2777,0.4,0.309,0.1233,0.3158,1
2026-08-22 19:36:44,41.16,33.33,instantaneous_fallback,33.75,38.0,,4.0,1105.5,1137.5,-56.0,2,-1.5,-55.0,low_load,0.2744,0.3333,0.3589,0.1267,0.2957,1
2026-08-22 19:36:48,43.24,23.33,instantaneous_fallback,16.75,20.0,,4.0,2416.0,2417.0,-55.5,2,0.5,-55.1,low_load,0.2883,0.2333,0.7733,0.0667,0.3273,1
2026-08-22 19:36:52,39.61,30.0,instantaneous_fallback,86.0,175.0,,4.0,632.0,632.0,-56.0,2,-0.5,-55.2,low_load,0.2641,0.3,0.2022,0.5833,0.3158,1
2026-08-22 19:36:57,43.82,36.67,instantaneous_fallback,46.5,104.0,,5.0,1026.8,1074.8,-54.0,2,2.0,-55.2,low_load,0.2921,0.3667,0.3363,0.3467,0.3427,1
2026-08-22 19:37:01,41.94,33.33,instantaneous_fallback,20.75,26.0,,4.0,1564.0,1587.0,-53.5,2,0.5,-55.0,low_load,0.2796,0.3333,0.5042,0.0867,0.3198,1
